ncbiTaxID	Genome	Quality	best-match-status	taxonomy-check-status
198	GCF_013372165.1	Complete Genome	subspecies-match	OK
199	GCF_001298465.1	Complete Genome	low-coverage	OK
200	GCF_013372125.1	Complete Genome	species-match	OK
201	GCF_000019205.1	Complete Genome	derived-species-match	OK
202	GCF_013372205.1	Complete Genome	species-match	OK
203	GCF_004803795.1	Complete Genome	species-match	OK
204	GCF_004803815.1	Complete Genome	below-threshold-mismatch	OK
205	GCA_022779145.1	Contig	genus-match	OK
206	GCF_002220755.1	Complete Genome	species-match	OK
210	GCF_017821535.1	Complete Genome	species-match	OK
212	GCF_000009305.1	Complete Genome	species-match	OK
213	GCF_000284635.1	Complete Genome	species-match	OK
214	GCF_000200595.1	Complete Genome	below-threshold-mismatch	OK
215	GCF_900451005.1	Contig	species-match	OK
216	GCF_900450885.1	Contig	species-match	OK
217	GCF_900476215.1	Complete Genome	low-coverage	OK
218	GCA_022782945.1	Contig	genus-match	OK
218	GCA_022787285.1	Contig	genus-match	OK
227	GCF_004328865.1	Complete Genome	species-match	OK
235	GCF_000054005.1	Complete Genome	species-match	OK
236	GCF_000016845.1	Complete Genome	species-match	OK
238	GCF_002022145.1	Complete Genome	species-match	OK
239	GCA_014378745.1	Contig	genus-match	OK
239	GCA_017306835.1	Contig	genus-match	OK
239	GCA_018993165.1	Contig	genus-match	OK
239	GCA_027531125.1	Contig	genus-match	OK
239	GCA_027531465.1	Contig	genus-match	OK
239	GCA_027532705.1	Contig	genus-match	OK
239	GCA_027533275.1	Contig	genus-match	OK
239	GCA_028687115.1	Contig	genus-match	OK
244	GCF_900176575.1	Contig	species-match	OK
245	GCF_000757385.1	Contig	species-match	OK
249	GCF_000425585.1	Scaffold	low-coverage	OK
250	GCF_004328965.1	Chromosome	species-match	OK
252	GCF_006540005.1	Contig	below-threshold-mismatch	OK
253	GCF_900460995.1	Contig	species-match	OK
254	GCF_003815915.1	Complete Genome	species-match	OK
256	GCF_900453865.1	Contig	species-match	OK
258	GCF_016725645.1	Complete Genome	species-match	OK
263	GCF_000833355.1	Complete Genome	derived-species-match	OK
266	GCF_000203895.1	Complete Genome	species-match	OK
271	GCF_001399775.1	Complete Genome	species-match	OK
274	GCF_000091545.1	Complete Genome	species-match	OK
276	GCF_000771745.2	Contig	below-threshold-mismatch	OK
277	GCF_000376665.1	Chromosome	species-match	OK
280	GCF_005871085.1	Scaffold	below-threshold-mismatch	OK
285	GCF_016599875.1	Chromosome	species-match	OK
287	GCF_000006765.1	Complete Genome	species-match	OK
292	GCF_009586235.1	Complete Genome	species-match	OK
293	GCF_900445995.1	Contig	species-match	OK
294	GCF_900215245.1	Chromosome	species-match	OK
296	GCF_015476275.1	Complete Genome	species-match	OK
298	GCF_008692035.1	Contig	species-match	OK
300	GCF_000733715.2	Complete Genome	species-match	OK
301	GCF_000297075.2	Complete Genome	species-match	OK
303	GCF_000412675.1	Complete Genome	species-match	OK
304	GCF_004342485.1	Scaffold	below-threshold-mismatch	OK
305	GCF_021117135.1	Chromosome	species-match	OK
306	GCA_003444315.1	Scaffold	genus-match	OK
306	GCA_003457265.1	Scaffold	genus-match	OK
306	GCA_003476965.1	Scaffold	genus-match	OK
306	GCA_003487845.1	Scaffold	genus-match	OK
306	GCA_003525845.1	Scaffold	genus-match	OK
306	GCA_003527295.1	Scaffold	genus-match	OK
306	GCA_003527725.1	Scaffold	genus-match	OK
306	GCA_003531165.1	Scaffold	genus-match	OK
306	GCA_003533745.1	Scaffold	genus-match	OK
306	GCA_003535575.1	Scaffold	genus-match	OK
306	GCA_003541975.1	Scaffold	genus-match	OK
306	GCA_003542075.1	Scaffold	genus-match	OK
306	GCA_004210575.1	Scaffold	genus-match	OK
306	GCA_015234375.1	Scaffold	genus-match	OK
306	GCA_016462755.1	Scaffold	genus-match	OK
306	GCA_016742115.1	Scaffold	genus-match	OK
306	GCA_018001355.1	Scaffold	genus-match	OK
306	GCA_018006995.1	Scaffold	genus-match	OK
306	GCA_018055685.1	Scaffold	genus-match	OK
306	GCA_018063935.1	Scaffold	genus-match	OK
306	GCA_018371705.1	Scaffold	genus-match	OK
306	GCA_023265965.1	Scaffold	genus-match	OK
306	GCA_026707805.1	Scaffold	genus-match	OK
316	GCF_019704535.1	Complete Genome	species-match	OK
317	GCF_018394375.1	Complete Genome	species-match	OK
329	GCF_902374465.1	Scaffold	species-match	OK
333	GCA_003945765.1	Complete Genome	subspecies-match	OK
337	GCF_009931375.1	Complete Genome	species-match	OK
339	GCF_013388375.1	Complete Genome	species-match	OK
343	GCF_017301775.1	Complete Genome	species-match	OK
347	GCF_008370835.2	Complete Genome	species-match	OK
350	GCF_006539865.1	Contig	below-threshold-mismatch	OK
353	GCF_002220155.1	Complete Genome	species-match	OK
354	GCF_000021045.1	Complete Genome	species-match	OK
358	GCF_003667905.1	Complete Genome	species-match	OK
359	GCF_018138105.1	Complete Genome	species-match	OK
361	GCA_003541435.1	Scaffold	genus-match	OK
375	GCF_013752735.1	Complete Genome	species-match	OK
376	GCF_900011265.1	Chromosome	genus-match	OK
380	GCF_003177055.1	Complete Genome	species-match	OK
381	GCF_003148495.1	Scaffold	below-threshold-mismatch	OK
382	GCF_000346065.1	Complete Genome	species-match	OK
384	GCF_004306555.1	Scaffold	species-match	OK
396	GCF_001664385.1	Complete Genome	species-match	OK
398	GCF_000330885.1	Complete Genome	below-threshold-mismatch	OK
399	GCF_000731315.1	Complete Genome	below-threshold-mismatch	OK
405	GCF_000013705.1	Complete Genome	below-threshold-mismatch	OK
406	GCF_000617925.1	Contig	below-threshold-mismatch	OK
408	GCF_000083545.1	Complete Genome	species-match	OK
409	GCA_003987715.1	Scaffold	genus-match	OK
409	GCA_003987805.1	Scaffold	genus-match	OK
410	GCF_022533465.1	Complete Genome	species-match	OK
414	GCF_000008325.1	Complete Genome	species-match	OK
428	GCF_003113265.1	Contig	species-match	OK
435	GCF_000379545.1	Scaffold	species-match	OK
437	GCF_004346035.1	Contig	species-match	OK
438	GCF_009914215.1	Complete Genome	derived-species-match	OK
442	GCF_000583855.1	Complete Genome	species-match	OK
446	GCF_001753085.1	Complete Genome	species-match	OK
447	GCF_900640135.1	Contig	species-match	OK
448	GCF_001467615.1	Scaffold	species-match	OK
449	GCF_000953655.1	Complete Genome	species-match	OK
450	GCF_000091785.1	Complete Genome	species-match	OK
451	GCF_000953635.1	Complete Genome	species-match	OK
452	GCF_900637495.1	Complete Genome	species-match	OK
453	GCF_900461565.1	Contig	species-match	OK
454	GCF_007361795.1	Complete Genome	species-match	OK
455	GCF_900114725.1	Scaffold	species-match	OK
456	GCF_900637635.1	Complete Genome	species-match	OK
458	GCF_900640015.1	Contig	species-match	OK
460	GCF_900452835.1	Contig	species-match	OK
463	GCF_000236145.1	Chromosome	species-match	OK
464	GCF_900450965.1	Contig	species-match	OK
466	GCF_900460175.1	Contig	species-match	OK
470	GCF_008632635.1	Complete Genome	species-match	OK
471	GCF_002055515.1	Complete Genome	species-match	OK
472	GCA_003444855.1	Scaffold	genus-match	OK
472	GCA_003513605.1	Scaffold	genus-match	OK
472	GCA_003527545.1	Scaffold	genus-match	OK
472	GCA_003532095.1	Scaffold	genus-match	OK
472	GCA_014333455.1	Scaffold	genus-match	OK
472	GCA_016463235.1	Scaffold	genus-match	OK
472	GCA_017986715.1	Scaffold	genus-match	OK
472	GCA_018002235.1	Scaffold	genus-match	OK
472	GCA_018002535.1	Scaffold	genus-match	OK
472	GCA_018002675.1	Scaffold	genus-match	OK
472	GCA_018002995.1	Scaffold	genus-match	OK
472	GCA_018003835.1	Scaffold	genus-match	OK
472	GCA_018004535.1	Scaffold	genus-match	OK
472	GCA_018005525.1	Scaffold	genus-match	OK
472	GCA_018006555.1	Scaffold	genus-match	OK
472	GCA_027319185.1	Scaffold	genus-match	OK
476	GCF_025985205.1	Complete Genome	species-match	OK
477	GCF_900453245.1	Contig	species-match	OK
478	GCF_016028775.1	Complete Genome	species-match	OK
480	GCF_002080125.1	Complete Genome	species-match	OK
483	GCF_900475315.1	Complete Genome	species-match	OK
484	GCF_005221285.1	Complete Genome	species-match	OK
485	GCF_013030075.1	Complete Genome	species-match	OK
486	GCF_003351565.1	Complete Genome	species-match	OK
487	GCF_008330805.1	Complete Genome	species-match	OK
488	GCF_900454435.1	Contig	synonym-match	OK
490	GCF_017753665.1	Complete Genome	synonym-match	OK
491	GCA_000152165.1	Complete Genome	species-match	OK
491	GCA_000191445.1	Complete Genome	species-match	OK
491	GCA_000008805.1	Complete Genome	species-match	OK
493	GCF_900636765.1	Complete Genome	species-match	OK
495	GCF_003351545.1	Complete Genome	species-match	OK
498	GCF_003148585.1	Scaffold	below-threshold-mismatch	OK
500	GCF_000021685.1	Complete Genome	low-coverage	OK
504	GCF_000470255.1	Scaffold	species-match	OK
505	GCF_014054985.1	Complete Genome	species-match	OK
511	GCF_000967305.2	Complete Genome	derived-species-match	OK
512	GCA_017989955.1	Scaffold	genus-match	OK
518	GCF_900636925.1	Complete Genome	species-match	OK
519	GCF_004008295.1	Complete Genome	species-match	OK
520	GCF_004008975.1	Complete Genome	species-match	OK
521	GCF_000070465.1	Complete Genome	species-match	OK
529	GCF_015326295.1	Complete Genome	species-match	OK
533	GCF_000019845.1	Complete Genome	below-threshold-mismatch	OK
536	GCF_016890085.1	Complete Genome	species-match	OK
537	GCF_900451195.1	Contig	species-match	OK
542	GCF_000007105.1	Complete Genome	derived-species-match	OK
545	GCF_000018045.1	Complete Genome	species-match	OK
546	GCF_003812345.1	Complete Genome	species-match	OK
548	GCF_007632255.1	Complete Genome	species-match	OK
549	GCF_019048385.1	Complete Genome	species-match	OK
550	GCF_023702375.1	Contig	species-match	OK
552	GCF_000091565.1	Complete Genome	species-match	OK
553	GCF_000233595.1	Complete Genome	species-match	OK
554	GCF_013488025.1	Complete Genome	derived-species-match	OK
556	GCF_000023565.1	Complete Genome	species-match	OK
562	GCF_000008865.2	Complete Genome	species-match	OK
562	GCF_000005845.2	Complete Genome	species-match	OK
563	GCF_000262305.1	Complete Genome	species-match	OK
564	GCF_020097475.1	Complete Genome	species-match	OK
565	GCF_011068345.1	Complete Genome	species-match	OK
566	GCF_902164725.1	Chromosome	species-match	OK
569	GCF_011617105.1	Complete Genome	species-match	OK
571	GCF_003812925.1	Complete Genome	species-match	OK
573	GCF_000240185.1	Complete Genome	derived-species-match	OK
575	GCF_022637595.1	Complete Genome	species-match	OK
576	GCA_011525465.1	Scaffold	genus-match	OK
576	GCA_027492335.1	Scaffold	genus-match	OK
577	GCF_012029655.1	Complete Genome	species-match	OK
580	GCF_026241935.1	Contig	species-match	OK
582	GCF_902387845.1	Complete Genome	derived-species-match	OK
584	GCF_000069965.1	Complete Genome	species-match	OK
585	GCF_000754995.1	Scaffold	species-match	OK
587	GCF_003204135.1	Complete Genome	species-match	OK
614	GCF_008364325.2	Complete Genome	species-match	OK
615	GCF_003516165.1	Chromosome	species-match	OK
618	GCF_002206385.2	Contig	species-match	OK
621	GCF_002290485.1	Contig	synonym-match	OK
622	GCF_022354085.1	Complete Genome	synonym-match	OK
623	GCF_000006925.2	Complete Genome	species-match	OK
624	GCF_013374815.1	Complete Genome	synonym-match	OK
628	GCF_014295015.1	Complete Genome	species-match	OK
630	GCF_025758635.1	Chromosome	species-match	OK
631	GCF_009730055.1	Complete Genome	species-match	OK
632	GCF_000222975.1	Complete Genome	species-match	OK
633	GCF_000834295.1	Complete Genome	species-match	OK
634	GCF_020531725.1	Contig	species-match	OK
636	GCF_002504285.1	Complete Genome	species-match	OK
638	GCF_004768525.1	Complete Genome	species-match	OK
644	GCF_016026875.1	Complete Genome	derived-species-match	OK
645	GCF_012931585.1	Complete Genome	derived-species-match	OK
646	GCF_000820145.1	Scaffold	species-match	OK
647	GCA_013298855.1	Scaffold	genus-match	OK
647	GCA_017984555.1	Scaffold	genus-match	OK
647	GCA_017985275.1	Scaffold	genus-match	OK
647	GCA_017985615.1	Scaffold	genus-match	OK
647	GCA_017987815.1	Scaffold	genus-match	OK
647	GCA_017988655.1	Scaffold	genus-match	OK
647	GCA_017991055.1	Scaffold	genus-match	OK
647	GCA_018004795.1	Scaffold	genus-match	OK
647	GCA_018005615.1	Scaffold	genus-match	OK
647	GCA_018005985.1	Scaffold	genus-match	OK
647	GCA_018006035.1	Scaffold	genus-match	OK
647	GCA_018006315.1	Scaffold	genus-match	OK
647	GCA_018006695.1	Scaffold	genus-match	OK
647	GCA_018007015.1	Scaffold	genus-match	OK
647	GCA_018007095.1	Scaffold	genus-match	OK
647	GCA_018060445.1	Scaffold	genus-match	OK
647	GCA_018060595.1	Scaffold	genus-match	OK
647	GCA_026399235.1	Scaffold	genus-match	OK
647	GCA_026399275.1	Scaffold	genus-match	OK
648	GCF_014169735.1	Complete Genome	species-match	OK
649	GCF_000819865.1	Scaffold	below-threshold-mismatch	OK
650	GCF_016127195.1	Complete Genome	species-match	OK
651	GCF_020423125.1	Complete Genome	species-match	OK
652	GCF_001481395.1	Scaffold	species-match	OK
654	GCF_008693705.1	Complete Genome	species-match	OK
656	GCF_016026615.1	Complete Genome	species-match	OK
659	GCF_002954725.1	Scaffold	species-match	OK
661	GCF_003026895.1	Contig	species-match	OK
663	GCF_023650915.1	Complete Genome	species-match	OK
666	GCF_008369605.1	Complete Genome	species-match	OK
668	GCF_000020845.1	Chromosome	species-match	OK
669	GCF_000770115.1	Complete Genome	species-match	OK
670	GCF_000196095.1	Complete Genome	species-match	OK
671	GCF_000467125.1	Contig	below-threshold-mismatch	OK
672	GCF_002204915.1	Complete Genome	species-match	OK
673	GCF_001558255.2	Complete Genome	species-match	OK
674	GCF_000176375.1	Contig	species-match	OK
675	GCF_900460255.1	Contig	species-match	OK
676	GCF_001558415.2	Complete Genome	species-match	OK
680	GCF_002906475.1	Complete Genome	species-match	OK
685	GCF_002892925.1	Scaffold	species-match	OK
687	GCF_002196515.1	Complete Genome	species-match	OK
689	GCF_013364395.1	Contig	species-match	OK
691	GCF_001456255.1	Complete Genome	species-match	OK
693	GCF_001591105.1	Contig	species-match	OK
703	GCF_020991025.1	Complete Genome	species-match	OK
714	GCF_023518055.1	Complete Genome	species-match	OK
715	GCF_900638445.1	Complete Genome	species-match	OK
716	GCF_000739435.1	Complete Genome	species-match	OK
717	GCF_000374285.1	Scaffold	below-threshold-mismatch	OK
718	GCF_000801145.1	Complete Genome	species-match	OK
720	GCF_900444945.1	Contig	below-threshold-mismatch	OK
723	GCF_900445015.1	Contig	species-match	OK
727	GCF_000931575.1	Complete Genome	species-match	OK
728	GCF_011765605.1	Complete Genome	species-match	OK
729	GCF_000191405.1	Scaffold	species-match	OK
730	GCF_001647695.1	Complete Genome	species-match	OK
732	GCF_900636915.1	Complete Genome	species-match	OK
734	GCF_002015115.1	Scaffold	low-coverage	OK
735	GCF_016889385.1	Complete Genome	species-match	OK
738	GCF_017352235.1	Complete Genome	species-match	OK
739	GCF_900476035.1	Complete Genome	species-match	OK
747	GCF_002073255.2	Complete Genome	species-match	OK
750	GCF_000772265.1	Contig	species-match	OK
753	GCF_020810675.1	Complete Genome	species-match	OK
755	GCF_004362535.1	Scaffold	species-match	OK
761	GCF_900454705.1	Contig	species-match	OK
774	GCF_009498695.1	Complete Genome	species-match	OK
781	GCF_000007025.1	Complete Genome	derived-species-match	OK
782	GCF_000277165.1	Complete Genome	species-match	OK
783	GCF_000017445.4	Complete Genome	species-match	OK
785	GCF_000277285.1	Complete Genome	species-match	OK
787	GCF_000284155.1	Complete Genome	species-match	OK
813	GCF_000008725.1	Complete Genome	species-match	OK
817	GCF_016889925.1	Complete Genome	species-match	OK
818	GCF_014131755.1	Complete Genome	species-match	OK
820	GCF_018292165.1	Complete Genome	species-match	OK
821	GCF_020885855.1	Complete Genome	species-match	OK
823	GCF_012273055.1	Chromosome	species-match	OK
824	GCF_001190745.1	Complete Genome	species-match	OK
827	GCF_013372225.1	Complete Genome	species-match	OK
831	GCF_900129945.1	Contig	low-coverage	OK
833	GCF_000146505.1	Complete Genome	derived-species-match	OK
837	GCF_000010505.1	Complete Genome	species-match	OK
839	GCF_018389405.1	Complete Genome	species-match	OK
840	GCF_000378085.1	Scaffold	species-match	OK
844	GCF_000196135.1	Complete Genome	species-match	OK
849	GCF_003019695.1	Complete Genome	species-match	OK
851	GCF_001457555.1	Complete Genome	subspecies-match	OK
856	GCF_003019655.1	Complete Genome	species-match	OK
858	GCF_900450765.1	Contig	below-threshold-mismatch	OK
859	GCF_003732525.1	Complete Genome	subspecies-match	OK
860	GCF_000160475.1	Scaffold	below-threshold-mismatch	OK
861	GCF_003019675.1	Complete Genome	species-match	OK
865	GCF_014076555.1	Complete Genome	species-match	OK
870	GCF_000015345.1	Complete Genome	species-match	OK
873	GCF_000212675.2	Complete Genome	derived-species-match	OK
876	GCF_017815575.1	Complete Genome	species-match	OK
878	GCF_000179555.1	Contig	below-threshold-mismatch	OK
879	GCF_000468495.1	Chromosome	species-match	OK
880	GCF_000023445.1	Complete Genome	below-threshold-mismatch	OK
881	GCF_000015485.1	Complete Genome	species-match	OK
882	GCA_000195755.1	Complete Genome	species-match	OK
885	GCA_003513425.1	Scaffold	genus-match	OK
885	GCA_021201995.1	Scaffold	genus-match	OK
889	GCF_000420485.1	Scaffold	below-threshold-mismatch	OK
891	GCF_013371475.1	Contig	species-match	OK
894	GCF_000186885.1	Complete Genome	below-threshold-mismatch	OK
897	GCF_002009335.2	Complete Genome	species-match	OK
899	GCF_000023225.1	Complete Genome	below-threshold-mismatch	OK
901	GCF_902373865.1	Scaffold	species-match	OK
905	GCF_000025305.1	Complete Genome	below-threshold-mismatch	OK
907	GCF_003006415.1	Complete Genome	species-match	OK
912	GCF_000013885.1	Complete Genome	below-threshold-mismatch	OK
913	GCF_000012725.1	Complete Genome	below-threshold-mismatch	OK
920	GCF_013462805.1	Complete Genome	species-match	OK
921	GCF_000092925.1	Complete Genome	below-threshold-mismatch	OK
923	GCF_023555375.1	Contig	low-coverage	OK
926	GCF_002028405.1	Complete Genome	below-threshold-mismatch	OK
927	GCF_000024765.1	Complete Genome	species-match	OK
929	GCF_000423825.1	Scaffold	low-coverage	OK
930	GCF_009662475.1	Complete Genome	species-match	OK
931	GCF_000373385.1	Scaffold	below-threshold-mismatch	OK
940	GCF_000164905.1	Complete Genome	species-match	OK
959	GCF_000691605.1	Complete Genome	species-match	OK
960	GCF_006874605.1	Complete Genome	species-match	OK
964	GCF_006378125.1	Complete Genome	species-match	OK
966	GCF_001995095.2	Contig	below-threshold-mismatch	OK
971	GCF_000424065.1	Scaffold	low-coverage	OK
979	GCF_000190595.1	Complete Genome	below-threshold-mismatch	OK
982	GCF_000517085.1	Scaffold	species-match	OK
983	GCF_900142775.1	Scaffold	species-match	OK
984	GCF_000023825.1	Complete Genome	species-match	OK
985	GCF_000014145.1	Complete Genome	species-match	OK
986	GCF_000016645.1	Complete Genome	species-match	OK
987	GCF_000430645.1	Scaffold	below-threshold-mismatch	OK
990	GCF_003254275.1	Scaffold	low-coverage	OK
991	GCF_002217335.1	Scaffold	species-match	OK
995	GCF_000242635.2	Complete Genome	low-coverage	OK
996	GCF_014844295.1	Complete Genome	species-match	OK
1006	GCF_000183425.1	Complete Genome	below-threshold-mismatch	OK
1008	GCF_000250635.1	Complete Genome	species-match	OK
1014	GCF_900637795.1	Complete Genome	species-match	OK
1015	GCF_900445655.1	Contig	species-match	OK
1017	GCF_002302415.1	Complete Genome	species-match	OK
1018	GCF_000023285.1	Complete Genome	species-match	OK
1019	GCF_002302495.1	Complete Genome	species-match	OK
1028	GCF_900177665.1	Scaffold	below-threshold-mismatch	OK
1031	GCF_000260135.1	Scaffold	below-threshold-mismatch	OK
1034	GCF_000336555.1	Scaffold	below-threshold-mismatch	OK
1035	GCF_900445155.1	Contig	species-match	OK
1044	GCF_000715015.1	Contig	low-coverage	OK
1048	GCF_004343155.1	Scaffold	species-match	OK
1049	GCF_000025485.1	Complete Genome	below-threshold-mismatch	OK
1052	GCF_002356555.2	Complete Genome	species-match	OK
1053	GCF_000015585.1	Complete Genome	below-threshold-mismatch	OK
1058	GCF_900106925.1	Contig	below-threshold-mismatch	OK
1061	GCF_000021865.1	Complete Genome	species-match	OK
1063	GCF_000021005.1	Complete Genome	species-match	OK
1071	GCF_002937115.1	Scaffold	low-coverage	OK
1074	GCF_900187365.1	Contig	species-match	OK
1076	GCF_016584445.1	Complete Genome	species-match	OK
1079	GCF_001402875.1	Complete Genome	species-match	OK
1084	GCF_000284415.1	Complete Genome	below-threshold-mismatch	OK
1085	GCF_000225955.1	Complete Genome	species-match	OK
1086	GCF_004341375.1	Scaffold	species-match	OK
1087	GCF_000515255.1	Scaffold	species-match	OK
1092	GCF_000020465.1	Complete Genome	low-coverage	OK
1096	GCF_000015125.1	Complete Genome	low-coverage	OK
1097	GCF_000006985.1	Complete Genome	below-threshold-mismatch	OK
1098	GCF_006265245.1	Contig	low-coverage	OK
1100	GCF_000012485.1	Complete Genome	low-coverage	OK
1102	GCF_000020625.1	Complete Genome	low-coverage	OK
1108	GCF_000018865.1	Complete Genome	low-coverage	OK
1112	GCF_001663175.1	Complete Genome	below-threshold-mismatch	OK
1126	GCF_001578075.1	Scaffold	species-match	OK
1160	GCF_904830935.1	Complete Genome	species-match	OK
1165	GCF_000317695.1	Complete Genome	species-match	OK
1184	GCF_002142475.1	Complete Genome	species-match	OK
1238	GCF_009708955.1	Complete Genome	species-match	OK
1244	GCF_000298875.1	Complete Genome	derived-species-match	OK
1245	GCF_009913915.1	Complete Genome	species-match	OK
1246	GCF_007954605.1	Complete Genome	species-match	OK
1247	GCF_020510245.1	Complete Genome	species-match	OK
1249	GCF_015689215.1	Chromosome	species-match	OK
1251	GCF_004354645.1	Scaffold	species-match	OK
1252	GCF_007954525.1	Complete Genome	species-match	OK
1254	GCF_013127755.1	Complete Genome	species-match	OK
1255	GCF_000014505.1	Complete Genome	species-match	OK
1258	GCF_016791605.1	Contig	species-match	OK
1261	GCF_900454605.1	Contig	species-match	OK
1264	GCF_000179635.2	Complete Genome	species-match	OK
1267	GCF_902362755.1	Scaffold	species-match	OK
1270	GCF_019890915.1	Complete Genome	species-match	OK
1272	GCF_006539885.1	Contig	below-threshold-mismatch	OK
1273	GCF_900163825.1	Contig	species-match	OK
1274	GCF_000725405.1	Complete Genome	species-match	OK
1275	GCF_004358895.1	Contig	species-match	OK
1276	GCF_900452405.1	Contig	species-match	OK
1280	GCF_000013425.1	Complete Genome	species-match	OK
1281	GCF_900458435.1	Contig	species-match	OK
1282	GCF_006094375.1	Complete Genome	species-match	OK
1283	GCF_001611955.1	Complete Genome	species-match	OK
1284	GCF_000816085.1	Complete Genome	species-match	OK
1285	GCF_900458545.1	Contig	species-match	OK
1286	GCF_025561465.1	Complete Genome	species-match	OK
1288	GCF_000709415.1	Complete Genome	species-match	OK
1290	GCF_003812505.1	Complete Genome	species-match	OK
1292	GCF_003571725.1	Complete Genome	species-match	OK
1294	GCF_900187005.1	Complete Genome	species-match	OK
1295	GCF_902374935.1	Scaffold	species-match	OK
1296	GCF_002209165.2	Complete Genome	species-match	OK
1299	GCF_020546685.1	Complete Genome	species-match	OK
1302	GCF_901544385.1	Complete Genome	species-match	OK
1303	GCF_900637025.1	Complete Genome	species-match	OK
1304	GCF_902858935.1	Scaffold	species-match	OK
1305	GCF_000191105.1	Scaffold	species-match	OK
1306	GCA_003454475.1	Scaffold	genus-match	OK
1306	GCA_003497325.1	Scaffold	genus-match	OK
1306	GCA_003507135.1	Scaffold	genus-match	OK
1306	GCA_003542835.1	Scaffold	genus-match	OK
1306	GCA_019414935.1	Scaffold	genus-match	OK
1307	GCF_000026745.1	Complete Genome	species-match	OK
1308	GCF_903886475.1	Complete Genome	species-match	OK
1309	GCF_009738105.1	Complete Genome	species-match	OK
1310	GCF_003172975.1	Complete Genome	species-match	OK
1311	GCF_001552035.1	Complete Genome	species-match	OK
1313	GCF_002076835.1	Chromosome	species-match	OK
1314	GCF_900475035.1	Complete Genome	species-match	OK
1317	GCF_900459175.1	Contig	below-threshold-mismatch	OK
1318	GCF_900459355.1	Contig	species-match	OK
1323	GCF_900459315.1	Contig	species-match	OK
1326	GCF_900459045.1	Contig	species-match	OK
1328	GCF_001412635.1	Complete Genome	species-match	OK
1329	GCF_010993845.2	Complete Genome	species-match	OK
1333	GCF_900459215.1	Contig	species-match	OK
1334	GCA_003967135.1	Complete Genome	derived-species-match	OK
1334	GCA_008693725.1	Complete Genome	species-match	OK
1334	GCA_016128095.1	Complete Genome	species-match	OK
1334	GCA_016128135.1	Complete Genome	derived-species-match	OK
1334	GCA_016724885.1	Complete Genome	derived-species-match	OK
1334	GCA_019856435.1	Complete Genome	species-match	OK
1334	GCA_026692645.1	Complete Genome	derived-species-match	OK
1334	GCA_028215935.1	Complete Genome	derived-species-match	OK
1334	GCA_028471605.1	Complete Genome	species-match	OK
1334	GCA_901543725.1	Complete Genome	derived-species-match	OK
1334	GCA_900635345.1	Complete Genome	species-match	OK
1334	GCA_012844385.1	Complete Genome	derived-species-match	OK
1334	GCA_012844405.1	Complete Genome	derived-species-match	OK
1334	GCA_013004125.1	Complete Genome	derived-species-match	OK
1334	GCA_014192695.1	Complete Genome	derived-species-match	OK
1334	GCA_014192895.1	Complete Genome	derived-species-match	OK
1334	GCA_022532125.1	Complete Genome	derived-species-match	OK
1334	GCA_900474785.1	Complete Genome	derived-species-match	OK
