Genome	Description	TotalLength
GCF_004362855.1	ABADCGJM_01920 hypothetical protein	974
GCF_004362855.1	ABADCGJM_00721 Phosphoenolpyruvate carboxylase	946
GCF_004362855.1	ABADCGJM_03445 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial	206
GCF_004362855.1	ABADCGJM_03612 Single-stranded DNA-binding protein	134
GCF_000513295.1	ABAFMEOI_00314 Fe(2+) transport protein A	78
GCF_000513295.1	ABAFMEOI_03144 hypothetical protein	478
GCF_000513295.1	ABAFMEOI_01666 hypothetical protein	617
GCF_000513295.1	ABAFMEOI_02884 Cytochrome c oxidase subunit 1 , bacteroid	483
GCF_000513295.1	ABAFMEOI_00825 Transcriptional activator protein ExaE	222
GCF_000380165.1	ABCDMGBG_01697 Fatty acid oxidation complex subunit alpha	706
GCF_000380165.1	ABCDMGBG_04755 hypothetical protein	415
GCF_000380165.1	ABCDMGBG_03582 hypothetical protein	234
GCF_000380165.1	ABCDMGBG_04910 hypothetical protein	144
GCF_000380165.1	ABCDMGBG_01602 hypothetical protein	359
GCF_001043915.1	ABCFKFIH_04081 hypothetical protein	206
GCF_001043915.1	ABCFKFIH_00865 hypothetical protein	310
GCF_001043915.1	ABCFKFIH_05522 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial	243
GCF_001043915.1	ABCFKFIH_03228 hypothetical protein	144
GCF_001043915.1	ABCFKFIH_02452 Protein YciF	163
GCF_002204915.1	ABDGALMA_04283 Acetyltransferase YpeA	144
GCF_002204915.1	ABDGALMA_04248 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	262
GCF_002204915.1	ABDGALMA_00156 Lipid A biosynthesis lauroyltransferase	312
GCF_002204915.1	ABDGALMA_02775 Uroporphyrinogen decarboxylase	355
GCF_002204915.1	ABDGALMA_03442 Malate synthase G	190
GCF_004799645.1	ABDKKCFH_02346 hypothetical protein	67
GCF_004799645.1	ABDKKCFH_00154 hypothetical protein	57
GCF_004799645.1	ABDKKCFH_01304 hypothetical protein	397
GCF_004799645.1	ABDKKCFH_01670 hypothetical protein	482
GCF_004799645.1	ABDKKCFH_02735 hypothetical protein	221
GCF_000517445.1	ABDNDJBE_00570 Molybdate/tungstate-binding protein WtpA	360
GCF_000517445.1	ABDNDJBE_01423 hypothetical protein	413
GCF_000517445.1	ABDNDJBE_01797 NH(3)-dependent NAD(+) synthetase	254
GCF_000517445.1	ABDNDJBE_00894 Isoleucine--tRNA ligase	886
GCF_000517445.1	ABDNDJBE_01120 D-amino acid dehydrogenase	391
GCF_902375165.1	ABEAKIEE_01404 hypothetical protein	79
GCF_902375165.1	ABEAKIEE_00201 hypothetical protein	521
GCF_902375165.1	ABEAKIEE_00785 Sodium/glutamate symporter	457
GCF_902375165.1	ABEAKIEE_01142 L-serine dehydratase, alpha chain	292
GCF_902375165.1	ABEAKIEE_00713 Holliday junction ATP-dependent DNA helicase RuvA	197
GCF_018207515.1	ABEHCJPI_05704 Pyrimidine-specific ribonucleoside hydrolase RihA	318
GCF_018207515.1	ABEHCJPI_04435 Nitrite reductase [NAD(P)H]	808
GCF_018207515.1	ABEHCJPI_04027 hypothetical protein	119
GCF_018207515.1	ABEHCJPI_06407 Protein-glutamate methylesterase/protein-glutamine glutaminase	374
GCF_018207515.1	ABEHCJPI_04420 Diacetylchitobiose uptake system permease protein NgcG	290
GCF_900240245.1	ABGCDDAO_00978 hypothetical protein	408
GCF_900240245.1	ABGCDDAO_00271 Penicillin-binding protein 1A	843
GCF_900240245.1	ABGCDDAO_03041 Deacetylase	376
GCF_900240245.1	ABGCDDAO_00169 hypothetical protein	288
GCF_900240245.1	ABGCDDAO_00357 hypothetical protein	343
GCF_000147675.1	ABGEHIPD_00274 hypothetical protein	182
GCF_000147675.1	ABGEHIPD_00349 3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	235
GCF_000147675.1	ABGEHIPD_00343 Type II secretion system protein F	351
GCF_000147675.1	ABGEHIPD_01119 Bacitracin transport ATP-binding protein BcrA	213
GCF_000147675.1	ABGEHIPD_00438 hypothetical protein	243
GCF_900102545.1	ABGJDNHF_02212 hypothetical protein	329
GCF_900102545.1	ABGJDNHF_06272 SusD-like protein P25	520
GCF_900102545.1	ABGJDNHF_02740 hypothetical protein	1045
GCF_900102545.1	ABGJDNHF_04951 hypothetical protein	174
GCF_900102545.1	ABGJDNHF_04169 Outer membrane protein assembly factor BamA	772
GCF_000647895.1	ABGJJKGA_02125 Flavoredoxin	163
GCF_000647895.1	ABGJJKGA_03059 Glutathione transport system permease protein GsiD	271
GCF_000647895.1	ABGJJKGA_02819 hypothetical protein	543
GCF_000647895.1	ABGJJKGA_02831 NADP-reducing hydrogenase subunit HndA	161
GCF_000647895.1	ABGJJKGA_00947 Xylulose kinase	512
GCF_900417275.1	ABGJPMFF_02413 Putative zinc metalloprotease Rip3	380
GCF_900417275.1	ABGJPMFF_01949 hypothetical protein	96
GCF_900417275.1	ABGJPMFF_04057 Protein RecA	714
GCF_900417275.1	ABGJPMFF_01116 PP2C-family Ser/Thr phosphatase	490
GCF_900417275.1	ABGJPMFF_04572 NADH-quinone oxidoreductase subunit L	626
GCF_900218035.1	ABGPDHLI_00446 hypothetical protein	52
GCF_900218035.1	ABGPDHLI_01350 hypothetical protein	47
GCF_900218035.1	ABGPDHLI_00177 Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase	504
GCF_900218035.1	ABGPDHLI_01712 HTH-type transcriptional regulator SgrR	519
GCF_900218035.1	ABGPDHLI_00317 hypothetical protein	139
GCF_003729985.1	ABHBFEPO_03157 hypothetical protein	547
GCF_003729985.1	ABHBFEPO_01221 Molybdopterin synthase catalytic subunit	146
GCF_003729985.1	ABHBFEPO_01035 hypothetical protein	95
GCF_003729985.1	ABHBFEPO_02829 GTP 3',8-cyclase	467
GCF_003729985.1	ABHBFEPO_00949 hypothetical protein	338
GCF_900129005.1	ABHDCHLD_02551 SusD-like protein P25	495
GCF_900129005.1	ABHDCHLD_02436 hypothetical protein	579
GCF_900129005.1	ABHDCHLD_03236 hypothetical protein	32
GCF_900129005.1	ABHDCHLD_03834 1-pyrroline-5-carboxylate dehydrogenase	541
GCF_900129005.1	ABHDCHLD_01569 Carbohydrate acetyl esterase/feruloyl esterase	380
GCF_000265525.1	ABHDPOBA_00317 hypothetical protein	128
GCF_000265525.1	ABHDPOBA_00945 putative metallohydrolase	421
GCF_000265525.1	ABHDPOBA_00338 N-glycosylase/DNA lyase	263
GCF_000265525.1	ABHDPOBA_01121 hypothetical protein	143
GCF_000265525.1	ABHDPOBA_01536 FAD synthase	151
GCF_002056795.1	ABHHOKHP_02439 Xylose import ATP-binding protein XylG	507
GCF_002056795.1	ABHHOKHP_04658 hypothetical protein	305
GCF_002056795.1	ABHHOKHP_04411 phosphoglycerate mutase GpmB	223
GCF_002056795.1	ABHHOKHP_00947 hypothetical protein	883
GCF_002056795.1	ABHHOKHP_03783 putative glycosyltransferase	343
GCF_000739045.1	ABHPPAJH_02323 putative protein	301
GCF_000739045.1	ABHPPAJH_00906 Copper-exporting P-type ATPase	755
GCF_000739045.1	ABHPPAJH_06557 6-methylpretetramide 4-monooxygenase	415
GCF_000739045.1	ABHPPAJH_00379 Exopolyphosphatase 1	310
GCF_000739045.1	ABHPPAJH_06895 RNA polymerase-associated protein RapA	1411
GCA_018366175.1	ABIJNIMP_00617 putative HIT-like protein	140
GCA_018366175.1	ABIJNIMP_00026 3-ketoacyl-CoA thiolase FadI	440
GCA_018366175.1	ABIJNIMP_01293 hypothetical protein	96
GCA_018366175.1	ABIJNIMP_01412 hypothetical protein	67
GCA_018366175.1	ABIJNIMP_00030 hypothetical protein	264
GCF_000430905.1	ABIMKEMB_00195 Molybdenum-containing formylmethanofuran dehydrogenase 1 subunit C	131
GCF_000430905.1	ABIMKEMB_00876 DNA repair protein NreA	387
GCF_000430905.1	ABIMKEMB_00243 Putative nickel-responsive regulator	139
GCF_000430905.1	ABIMKEMB_01741 hypothetical protein	770
GCF_000430905.1	ABIMKEMB_01666 hypothetical protein	97
GCF_016862055.1	ABJANKLK_00659 hypothetical protein	427
GCF_016862055.1	ABJANKLK_03118 hypothetical protein	413
GCF_016862055.1	ABJANKLK_03979 hypothetical protein	132
GCF_016862055.1	ABJANKLK_06978 hypothetical protein	135
GCF_016862055.1	ABJANKLK_02689 Formylglycine-generating enzyme	303
GCF_900177735.1	ABJDGGKD_00490 hypothetical protein	598
GCF_900177735.1	ABJDGGKD_01899 hypothetical protein	110
GCF_900177735.1	ABJDGGKD_00709 UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase	602
GCF_900177735.1	ABJDGGKD_01019 Methionine aminopeptidase 1	257
GCF_900177735.1	ABJDGGKD_00674 NAD(P)H-quinone oxidoreductase subunit 1, chloroplastic	332
GCF_013201645.1	ABJLBJLD_01566 Biotin carboxyl carrier protein of acetyl-CoA carboxylase	151
GCF_013201645.1	ABJLBJLD_00219 hypothetical protein	133
GCF_013201645.1	ABJLBJLD_00925 Carboxy-terminal processing protease CtpA	442
GCF_013201645.1	ABJLBJLD_00805 hypothetical protein	311
GCF_013201645.1	ABJLBJLD_01700 Putative beta-lactamase HcpC	153
GCF_000875775.1	ABJONPIN_01230 DNA polymerase 1	852
GCF_000875775.1	ABJONPIN_01060 Vitamin B12 import ATP-binding protein BtuD	311
GCF_000875775.1	ABJONPIN_01986 hypothetical protein	309
GCF_000875775.1	ABJONPIN_01314 hypothetical protein	65
GCF_000875775.1	ABJONPIN_00417 Nitrilase	268
GCF_003688415.1	ABKDJPGO_00854 Anthranilate phosphoribosyltransferase	331
GCF_003688415.1	ABKDJPGO_01337 hypothetical protein	123
